Similarity between 12 and 25: 0.4717477770768291, type: <class 'float'>
Similarity between 12 and 26: 0.7007700778365334, type: <class 'float'>
Similarity between 12 and 29: 0.38273608512099827, type: <class 'float'>
Similarity between 12 and 32: 0.42471990823083167, type: <class 'float'>
Similarity between 12 and 33: 0.5732853835517965, type: <class 'float'>
Similarity between 12 and 35: 0.5017224260152316, type: <class 'float'>
Similarity between 12 and 36: 0.3893429696051238, type: <class 'float'>
Similarity between 12 and 37: 0.8445067697845579, type: <class 'float'>
Similarity between 12 and 39: 0.5118972122916989, type: <class 'float'>
Similarity between 12 and 41: 0.5719331352732245, type: <class 'float'>
Similarity between 12 and 42: 0.49094745627746333, type: <class 'float'>
Similarity between 12 and 43: 0.5431783045100809, type: <class 'float'>
Similarity between 12 and 45: 0.4799273718232975, type: <class 'float'>
Similarity between 12 and 51: 0.4869580862384016, type: <class 'float'>
Similarity between 12 and 57: 0.4024498518667739, type: <class 'float'>
Similarity between 12 and 58: 0.4270481921859881, type: <class 'float'>
Similarity between 13 and 14: 0.7062054754931248, type: <class 'float'>
Similarity between 13 and 15: 0.7811693936385917, type: <class 'float'>
Similarity between 13 and 16: 0.45237262339962, type: <class 'float'>
Similarity between 13 and 17: 0.5595107848967888, type: <class 'float'>
Similarity between 13 and 18: 0.4877968468503324, type: <class 'float'>
Similarity between 13 and 19: 0.6152027943039469, type: <class 'float'>
Similarity between 13 and 23: 0.38428198774178235, type: <class 'float'>
Similarity between 13 and 24: 0.4378605439735865, type: <class 'float'>
Similarity between 13 and 25: 0.46210392001683975, type: <class 'float'>
Similarity between 13 and 26: 0.46314701308370515, type: <class 'float'>
Similarity between 13 and 29: 0.437677593009029, type: <class 'float'>
Similarity between 13 and 32: 0.4088813863909906, type: <class 'float'>
Similarity between 13 and 33: 0.4895643341723591, type: <class 'float'>
Similarity between 13 and 35: 0.5491725126936189, type: <class 'float'>
Similarity between 13 and 36: 0.4034149849854012, type: <class 'float'>
Similarity between 13 and 37: 0.5295549171227826, type: <class 'float'>
Similarity between 13 and 39: 0.4233259119584296, type: <class 'float'>
Similarity between 13 and 41: 0.5021368084979212, type: <class 'float'>
Similarity between 13 and 42: 0.41672025808718527, type: <class 'float'>
Similarity between 13 and 43: 0.4679955388680097, type: <class 'float'>
Similarity between 13 and 45: 0.42185220207654395, type: <class 'float'>
Similarity between 13 and 51: 0.35865445216806324, type: <class 'float'>
Similarity between 13 and 57: 0.47337295166960097, type: <class 'float'>
Similarity between 13 and 58: 0.3865373717140509, type: <class 'float'>
Similarity between 14 and 15: 0.796357865411158, type: <class 'float'>
Similarity between 14 and 16: 0.42916986569266363, type: <class 'float'>
Similarity between 14 and 17: 0.6811727592701327, type: <class 'float'>
Similarity between 14 and 18: 0.5223938743496703, type: <class 'float'>
Similarity between 14 and 19: 0.5525860374845226, type: <class 'float'>
Similarity between 14 and 23: 0.3850830453391896, type: <class 'float'>
Similarity between 14 and 24: 0.40534618458040816, type: <class 'float'>
Similarity between 14 and 25: 0.441828947611047, type: <class 'float'>
Similarity between 14 and 26: 0.47204682660804176, type: <class 'float'>
Similarity between 14 and 29: 0.39605126466402796, type: <class 'float'>
Similarity between 14 and 32: 0.4332012366892679, type: <class 'float'>
